A change of clothes        - сменная одежда
Acquaintance               - знакомый
Attempt                    - спроба, попытка
Audience                   - публика
Be proud of                - гордиться за
Boast                      - хвастаться
Call of                    - отметить
Channel                    - канал
Climate                    - климат
Consequence                - последствие
Content                    - состав, зміст, наполнение
Currently                  - В настоящее время, теперь
Define                     - определять, давать характеристику
Desire                     - желание
Doubt                      - сомнение
Efficient                  - эффективно
Establish the order        - установить порядок
Existence                  - существование
Feel like                  - хочу
Fell off into              - упал с , на
Flutter                    - порхать
Former                     - бывший
Full of joy                - полный радости
Getting old                - старение
Give up                    - бросать (курить)
Has turned into            - превратился
Have a good flight         - желаю хорошего полёта
Immediately                - сразу
In trouble                 - в беде
Instead of                 - вместо (него)
Intend                     - намереваться
Intention                  - намерение
Interest                   - процент
Leaf                       - лист
Likely                     - вероятно
Living room                - прихожая комната
Load                       - груз
Met                        - знаком
Most of all                - больше всего
Paint                      - краска
Pay attention              - обращать внимание
Performance                - выступление
Permission                 - разрешение
Pit                        - яма
Plant                      - растение
Possibility                - возможность
Predict                    - предсказывать
Pretty                     - довольно, красиво
Previously                 - раньше
Protection                 - защита
Recover                    - восстанавливать
Relation                   - связь, отношения
Relations                  - отношения
Responsibility             - ответственность
Rock                       - камень
Roof                       - крыша
Signature                  - подпись
Since                      - поскольку, с
Smaller                    - меньше (размер)
Statement                  - утверждение
Suffer                     - страдать
Team                       - команда
The amount                 - количество (E)
The side of the road       - узбіччя дороги
There was no damage        - не было никакого повреждения
Thin                       - тонкий (книга)
This is a total failure    - это полный провал
Though                     - хотя, однако, несмотря на, даже, всё таки
Thrilling                  - захватывающий
Title                      - название
Track                      - путь
Transform                  - превратиться
truth                      - правда
Unlikely                   - маловероятно
Unpredictable              - непредсказуемо
Vacation                   - отпуск (V)
Wake                       - будить, поднимать с кровати
Wedding                    - свадьба
Were they under arrest     - они были под арестом?
Were you in trouble        - ты был в беде?
Where do we begin          - с чего начнём
differently                - по другому (иначе)
i heard it in the news     - я услышал это в новостях
i leave for                - я уехал в
i mean to do it            - я хочу сделать это
postpone                   - откладывать (на потом)
put off                    - откладывать (на потом)
quietly                    - тихо
Sell for                   - продать за
Discount                   - скидка
Break down                 - сломаться
Customer                   - покупатель
Complaint                  - жалоба
Throw away                 - выбросить
Fashionable                - модная
School uniform             - школьная форма
Teach me a lesson          - он преподал мне урок
Specious                   - просторная
Notificat                  - уведомлять
It stopped working properly - это сломалось
Injury                     - сильно задеть
Jewelry                    - украшения
Woke up                    - проснуться
I like better              - нравится больше
belt                       - ремень
Rose by                    - выросла на (цена)
Terrible                   - ужасно
take a nap                 - вздремнуть
Take responsibility        - нести ответственность
whitespace                 - пробельные символы
inheritance                - наследование
middleware                 - промежуточное ПО
Stay true to yourself      - оставаться верным себе
Sight                      - зрение, взгляд
Chest                      - грудь
Ears                       - уши, слушать
Ear                        - ухо
Tongue                     - язык
brain                      - мозг
Neck                       - шея
Feet                       - ноги
Pain                       - боль
Drug                       - лекарства, наркотики
Ambulance                  - скорая помощь
Treatment                  - лечение, уход
Emergency                  - Чрезвычайная ситуация
Take care                  - заботиться
Sick                       - больной
